id,subject,subtype,healthy,wavelength
1,curb_concrete,mature,yes,400.0
2,magnolia_bark,mature,yes,400.0
3,hand,mature,yes,800.0
4,hand,young,yes,400.0
5,stickynote,young,yes,800.0
6,stickynote,young,yes,400.0
7,cardboard,young,yes,800.0
8,cardboard,young,yes,400.0
9,dandelion,young,no,800.0
10,dandelion,young,no,400.0
11,dandelion,young,yes,800.0
12,dandelion,young,yes,400.0
13,magnolia_leaf,mature,yes,400.0
14,magnolia_leaf,mature,yes,800.0
15,long_leaf,mature,yes,400.0
16,hand,young,yes,800.0
17,long_leaf,mature,yes,800.0
18,autumn_leaf,mature,no,400.0
19,autumn_leaf,mature,no,800.0
20,holly_leaf,mature,yes,400.0
21,holly_leaf,mature,yes,800.0
22,asphalt,mature,yes,400.0
23,asphalt,mature,yes,800.0
24,grass,mature,yes,800.0
25,curb_concrete,mature,yes,800.0
26,magnolia_bark,mature,yes,800.0
27,grass,mature,yes,400.0
